Notes	Injury Mechanism & All Other Leading Causes	Injury Mechanism & All Other Leading Causes Code	Deaths	Population	Crude Rate	Remove	MeSH.Terms	Abbreviation	MeSH.IDs
	Non-Injury: Other disorders of circulatory system	GR113-075	47786	3368035901	1.42	TRUE			
	Drowning	GRINJ-002	46152	3368035901	1.37	FALSE	Drowning	Drowning	D004332
	Fire/Flame	GRINJ-004	36289	3368035901	1.08	FALSE	Fires	Fires	D005390
	Non-Injury: Cholelithiasis and other disorders of gallbladder	GR113-096	36095	3368035901	1.07	FALSE	Biliary Tract Diseases	Biliary tract disease	D001660
	Non-Injury: Nutritional Deficiencies	GR113 048-049	34262	3368035901	1.02	FALSE	Malnutrition	Malnutrition	D044342
	Non-Injury: Peptic ulcer	GR113-090	34446	3368035901	1.02	FALSE	Peptic Ulcer	Peptic ulcer	D010437
	Cut/Pierce	GRINJ-001	29673	3368035901	0.88	FALSE	"Wounds, Penetrating"	Penetrating Wounds	D014950
	Non-Injury: Complications of medical and surgical care	GR113-135	28845	3368035901	0.86	TRUE			
	"Other specified, classifiable Injury"	GRINJ-018	22890	3368035901	0.68	TRUE			
	"Other specified, not elsewhere classified Injury"	GRINJ-019	22259	3368035901	0.66	TRUE			
	Non-Injury: Hernia	GR113-092	19727	3368035901	0.59	FALSE	Hernia	Hernia	D006547
	Natural/Environmental	GRINJ-013	17979	3368035901	0.53	TRUE			
	Other land transport	GRINJ-011	17647	3368035901	0.52	TRUE			
	Other Pedestrian	GRINJ-010	11703	3368035901	0.35	TRUE			
	Other transport	GRINJ-012	10978	3368035901	0.33	TRUE			
	Struck by or against	GRINJ-016	10951	3368035901	0.33	TRUE			
	Non-Injury: Pneumoconioses and chemical effects	GR113-087	9554	3368035901	0.28	FALSE	Pneumoconiosis	Pneumoconiosis	D011009
	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	GR113-107	9422	3368035901	0.28	TRUE			
	Machinery	GRINJ-007	7270	3368035901	0.22	FALSE	"Accidents, Aviation;Accidents, Home;Accidents, Occupational"	Machinery Accidents	D000060;D000061;D000062
	Non-Injury: Infections of kidney	GR113-102	7298	3368035901	0.22	FALSE	Pyelonephritis	Pyelonephritis	D011704
	Non-Injury: Meningitis	GR113-050	6806	3368035901	0.2	FALSE	Meningitis	Meningitis	D008581
	Non-Injury: Tuberculosis	GR113 005-006	6291	3368035901	0.19	FALSE	Tuberculosis	Tuberculosis	D014376
	Non-Injury: Hyperplasia of prostate	GR113-103	5619	3368035901	0.17	FALSE	Prostatic Hyperplasia	Prostate Hyperplasia	D011470
	Non-Injury: Diseases of appendix	GR113-091	4528	3368035901	0.13	FALSE	Appendix	Appendix disease	D001065
	Other Pedal cyclist	GRINJ-009	2865	3368035901	0.09	FALSE	Bicycling	Bicycles	D001642
	Non-Injury: Other acute lower respiratory infections	GR113 079	3104	3368035901	0.09	TRUE			
	Non-Injury: Inflammatory diseases of female pelvic organs	GR113-104	1379	3368035901	0.04	FALSE	Pelvic Inflammatory Disease	Pelvic Inflammatory Disease	D000292
	Hot object/Substance	GRINJ-005	894	3368035901	0.03	TRUE			
	Non-Injury: Meningococcal infection	GR113-009	995	3368035901	0.03	FALSE	Meningococcal Infections	Meningococcal infection	D008589
	Non-Injury: Whooping cough	GR113-007	176	3368035901	0.01	FALSE	Whooping Cough	Whooping Cough	D014917
	Non-Injury: Syphilis	GR113-011	440	3368035901	0.01	FALSE	Syphilis	Syphilis	D013587
	Non-Injury: Pregnancy with abortive outcome	GR113-106	326	3368035901	0.01	TRUE			
	Non-Injury: Measles	GR113-014	7	3368035901	0	FALSE	Measles	Measles	D008457
	Overexertion	GRINJ-014	120	3368035901	0	TRUE			
	Non-Injury: Scarlet fever and erysipelas	GR113-008	31	3368035901	0	FALSE	Scarlet Fever;Erysipelas	Scarlet Fever & Erysipelas	D012541;D004886
	Non-Injury: Arthropod-borne viral encephalitis	GR113-013	49	3368035901	0	FALSE	"Encephalitis, Arbovirus"	Arbovirus Encephalitis	D004671
	Non-Injury: Malaria	GR113-017	73	3368035901	0	FALSE	Malaria	Malaria	D008288
---									
"Dataset: Compressed Mortality, 1999-2014"									
Query Parameters:									
Title:									
2013 Urbanization: All									
Age Group: All									
Gender: All									
Hispanic Origin: All									
Injury Intent: All									
Injury Mechanism & All Other Leading Causes: All									
Race: All									
States: All									
"Year: 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014"									
Group By: Injury Mechanism & All Other Leading Causes									
Show Totals: False									
Show Zero Values: False									
Show Suppressed: False									
"Calculate Rates Per: 100,000"									
---									
Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information.									
---									
"Query Date: Aug 18, 2016 12:30:13 PM"									
---									
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Compressed Mortality File"									
"1999-2014 on CDC WONDER Online Database, released December 2015. Data are from the Compressed Mortality File 1999-2014 Series 20"									
"No. 2T, 2015, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"									
"Program. Accessed at http://wonder.cdc.gov/cmf-icd10.html on Aug 18, 2016 12:30:13 PM"									
---									
Messages:									
1. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows.									
---									
Caveats:									
1. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:									
http://wonder.cdc.gov/wonder/help/cmf.html#Unreliable.									
2. About national population figures: population figures for 1999 are from the 1990-1999 series of bridged-race intercensal									
estimates of the July 1 resident population; population figures for 2000 and 2010 are bridged-race April 1 census counts;									
population figures for 2001-2009 are from the revised 2000-2009 series of bridged-race intercensal estimates of the July 1									
"resident population; population figures for 2011 are bridged-race postcensal estimates of the July 1 resident population, from"									
"the Vintage 2011 series released by NCHS on July 18, 2012; population figures for 2012 are bridged-race postcensal estimates of"									
"the July 1 resident population, from the Vintage 2012 series released by NCHS on June 13, 2013; population figures for 2013 are"									
"bridged-race postcensal estimates of the July 1 resident population, from the Vintage 2013 series released by NCHS on June 26,"									
"2014; and population figures for 2013 are bridged-race postcensal estimates of the July 1 resident population, from the Vintage"									
"2014 series released by NCHS on June 30, 2015. More information: http://wonder.cdc.gov/wonder/help/cmf.html#Population"									
Information.									
3. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the									
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/cmf.html#Age Group.									
